1  X4500
45  X4499
1035  X4498
16215  X4497
194580  X4496
1906884  X4495
15890700  X4494
115775100  X4493
752538150  X4492
4431613550  X4491
23930713170  X4490
119653565850  X4489
558383307300  X4488
2448296039700  X4487
10142940735900  X4486
39895566894540  X4485
149608375854525  X4484
536830054536825  X4483
1849081298960175  X4482
6131164307078475  X4481
19619725782651120  X4480
60727722660586800  X4479
182183167981760400  X4478
530707489338171600  X4477
1503671219791486200  X4476
4150132566624501912  X4475
11173433833219812840  X4474
29381992672540989320  X4473
75553695443676829680  X4472
190186888530634778160  X4471
469127658375565786128  X4470
1134986270263465611600  X4469
2695592391875730827550  X4468
6289715581043371930950  X4467
14429347509452441488650  X4466
32569098664192653645810  X4465
72375774809317008101800  X4464
158444263771748044763400  X4463
341906042875877359752600  X4462
727646193812764637422200  X4461
1528057007006805738586620  X4460
3167923063306792384874700  X4459
6486699605818670121410100  X4458
13124252690842425594480900  X4457
26248505381684851188961800  X4456
51913710643776705684835560  X4455
101570303433476163296417400  X4454
196657396009496401276042200  X4453
376926675684868102445747550  X4452
715391445687606806682745350  X4451
1344935917892700796563561258  X4450
2505272788231501483794869010  X4449
4625118993658156585467450480  X4448
8464840422355494128119673520  X4447
15362117803534044899180148240  X4446
27651812046361280818524266832  X4445
49378235797073715747364762200  X4444
87494768693060443692698964600  X4443
153870110460209745804401627400  X4442
268620701311891590133107925800  X4441
465609215607278756230720404720  X4440
801458485881381465643043319600  X4439
1370235475861716699325203094800  X4438
2327225332019106140123757637200  X4437
3927192747782241611458841012775  X4436
6585600146280989779215594929115  X4435
10976000243801649632025991548525  X4434
18184119806895270285893806893825  X4433
29950314976062798117942740766300  X4432
49049066555001394019239560965100  X4431
79879908389573698831332999286020  X4430
129382950208464441769060491801300  X4429
208450308669192711739041903457650  X4428
334091590606788318814628804171850  X4427
532740644481094886758462147192950  X4426
845281822576670553656759940212814  X4425
1334655509331585084721199905599180  X4424
2097315800378205133133314137370140  X4423
3280417021104372131311081086655860  X4422
5107484729061237622167885742514820  X4421
7916601330044918314360222900897971  X4420
12216977361180429497469479785336375  X4419
18772428628155294105867737231126625  X4418
28724077539466534354761477450037125  X4417
43770022917282338064398441828628000  X4416
66427446545052018944792929363447200  X4415
100413581986706540265384660665676000  X4414
151197462531707549135234374105788000  X4413
226796193797561323702851561158682000  X4412
338920154776130966881789411619154000  X4411
504614452666683884023997568410740400  X4410
748603858351673893881754634455494000  X4409
1106631790606822277912159024847252000  X4408
1630199519496071527677051466710468000  X4407
2393271635004870966164181940489836000  X4406
3501734287007126992598118839243023200  X4405
5106695835218726864205589973896075500  X4404
7423135183152994720133898828034501500  X4403
10755971387833931125091975852866318500  X4402
15536403115760122736243965120806904500  X4401
22372420486694576740191309773961942435  X4400
32118821490799144825027127893311697575  X4399
45973999388790932788764320317877484225  X4398
65613377768468612815032573657552639525  X4397
93372883747436102852161739435740269300  X4396
132500568365409326904496182627786616740  X4395
187500804290673575808249315038727031500  X4394
264603938765343083617249033368208429500  X4393
372405543447519895461313454343539329250  X4392
522734386674041688124595949522987872250  X4391
731828141343658363374434328534492582150  X4390
1021922179353757174081417301730572190750  X4389
1423391606957018921041974081211477011000  X4388
1977632586657097084987521435801722079000  X4387
2740929374489660872175687300269920663000  X4386
3789632787337878945008123016139997143800  X4385
5227079706672936475873268869609993302375  X4384
7192819083541391218936705517176537190875  X4383
9874887216387333707353732107220331524125  X4382
13526106019085171380660832471456953832625  X4381
18485678226083067553569298556602502930400  X4380
25207743035567819391229332858293076636000  X4379
34299060195936541138881333647317257708000  X4378
46568642705052051790175726501267302332000  X4377
63092999793941489522138255769563442549000  X4376
85301735721408893833835649191963785760616  X4375
115089643433646920251749646880429878413720  X4374
154963220686249002858009851195091054445560  X4373
208231827797147097588827513617855860023565  X4372
279256637278344557227529538658897310200905  X4371
373774268357168868894883894325738018762319  X4370
499316770706141618729834486668004611212075  X4369
665755694274855491586576834138739531072350  X4368
886005698395860315749252220235357233342150  X4367
1176932942645247284826407100925766974069050  X4366
1560525901729624177054059191625046915934370  X4365
2065401928759796703607357439995947425119350  X4364
2728742694200899291719879535097276050871550  X4363
3598776596699736741068406300138567563820450  X4362
4737957677669437567479767436758022407668650  X4361
6227030090651260777245918207073508341222440  X4360
8170216785606264088021968900416022232835400  X4359
10701833254385669756602758973055847330268200  X4358
13994705024965875626683405911570236517073800  X4357
18270864893705448324703772240168675625318225  X4356
